Var,importance
custid,0.051274909303054596
low_volume_percent,0.04528531926369763
middle_volume_percent,0.035270825861758136
take_amount_in_later_12_month_highest,0.029850513459489633
trans_amount_increase_rate_lately,0.024138010686558468
trans_activity_month,0.02170141094156516
trans_activity_day,0.017377723397520316
transd_mcc,0.01719695590085195
trans_days_interval_filter,0.01614917028746122
trans_days_interval,0.015715480240388068
regional_mobility,0.015530387707892493
student_feature,0.01531864297731721
repayment_capability,0.015216462252784994
is_high_user,0.015036400284186216
number_of_trans_from_2011,0.015014715748215954
first_transaction_time,0.014966554354289448
historical_trans_amount,0.014405444695263525
historical_trans_day,0.014324759799879672
rank_trad_1_month,0.014246992599950816
trans_amount_3_month,0.014061554293529871
avg_consume_less_12_valid_month,0.013938564956494459
abs,0.01381270230156063
top_trans_count_last_1_month,0.013673668916486062
avg_price_last_12_month,0.013438033128121566
avg_price_top_last_12_valid_month,0.013382967649604
reg_preference_for_trad,0.012960002136510477
trans_top_time_last_1_month,0.012854370154965955
trans_top_time_last_6_month,0.012488168374198314
consume_top_time_last_1_month,0.012446158690875498
consume_top_time_last_6_month,0.012272021769324178
cross_consume_count_last_1_month,0.012232151205724351
trans_fail_top_count_enum_last_1_month,0.011983689667906014
trans_fail_top_count_enum_last_6_month,0.011980783575473603
trans_fail_top_count_enum_last_12_month,0.011925379858856843
consume_mini_time_last_1_month,0.011605729738845714
max_cumulative_consume_later_1_month,0.01156924151430441
max_consume_count_later_6_month,0.011268986420234585
railway_consume_count_last_12_month,0.011247280858131294
pawns_auctions_trusts_consume_last_1_month,0.011120139585777818
pawns_auctions_trusts_consume_last_6_month,0.010949857710783759
jewelry_consume_count_last_6_month,0.010922360857795299
first_transaction_day,0.010860143751685996
trans_day_last_12_month,0.010827694764434874
apply_score,0.010770894936886903
apply_credibility,0.010467325826473164
query_org_count,0.010425586679958507
query_finance_count,0.010283731535699227
query_cash_count,0.010271922770679898
query_sum_count,0.009970633173026012
latest_query_time,0.009660486002931935
latest_one_month_apply,0.00959107792735498
latest_three_month_apply,0.009529680639779239
latest_six_month_apply,0.009528076650102801
loans_score,0.009519831459424324
loans_credibility_behavior,0.009281644862014033
loans_count,0.008979155672485323
loans_settle_count,0.008928139887219699
loans_overdue_count,0.008868872050187207
loans_org_count_behavior,0.008688514827825898
consfin_org_count_behavior,0.008519365802885131
loans_cash_count,0.008482061877457238
latest_one_month_loan,0.008259144061656289
latest_three_month_loan,0.008133187172687344
latest_six_month_loan,0.008112828395589685
history_suc_fee,0.0076473299282470075
history_fail_fee,0.00756130029306702
latest_one_month_suc,0.007337700729726135
latest_one_month_fail,0.007303893289723511
loans_long_time,0.007232277899790572
loans_latest_time,0.007229172034241531
loans_credit_limit,0.00711633748950574
loans_credibility_limit,0.00706739939145732
loans_org_count_current,0.006922326210672861
loans_product_count,0.006657691449796878
loans_max_limit,0.006319420702393659
loans_avg_limit,0.006317894935533867
consfin_credit_limit,0.0045947341231720685
consfin_credibility,0.003460300553213712
consfin_org_count_current,0.003366307524648818
consfin_product_count,0.002705123884705025
consfin_max_limit,0.0019018154772748814
consfin_avg_limit,0.0006692515619343899
latest_query_day,0.0002487392669022342
loans_latest_day,0.00022648939791687823
